postalcode;cnt;status;target;guid
000000;466;exhausted;000000;466.0
062541;3;exhausted;062541;3.0
080621;1;exhausted;080621;1.0
101000;1392;confirmed;;
103132;16;confirmed;;
103265;4;confirmed;;
103274;3;confirmed;;
103426;1;confirmed;103426;1.0
104301;18;exhausted;104301;18.0
105005;606;confirmed;;
105037;368;confirmed;;
105043;268;confirmed;;
105062;3;exhausted;105062;3.0
105064;488;confirmed;;
105066;541;confirmed;;
105077;224;confirmed;;
105082;569;confirmed;;
105094;272;confirmed;;
105118;570;confirmed;;
105120;415;confirmed;;
105122;188;confirmed;;
105173;182;confirmed;;
105175;8;confirmed;;
105187;654;confirmed;;
105203;214;confirmed;;
105215;196;confirmed;;
105264;207;confirmed;;
105275;367;confirmed;;
105318;351;confirmed;;
105425;297;confirmed;;
105484;245;confirmed;;
105523;166;confirmed;;
105554;48;confirmed;;
105568;194;confirmed;;
105613;8;confirmed;;
107014;766;confirmed;;
107016;4;confirmed;;
107023;580;confirmed;;
107031;342;confirmed;;
107045;313;confirmed;;
107053;1;confirmed;107053;1.0
107061;267;confirmed;;
107065;185;confirmed;;
107076;487;confirmed;;
107078;426;confirmed;;
107113;419;confirmed;;
107140;694;confirmed;;
107143;763;confirmed;;
107150;500;confirmed;;
107174;9;confirmed;;
107207;129;confirmed;;
107241;307;confirmed;;
107258;140;confirmed;;
107370;336;confirmed;;
107392;186;confirmed;;
107450;1;confirmed;107450;1.0
107497;593;confirmed;;
107552;1;exhausted;107552;1.0
107553;331;confirmed;;
107564;508;confirmed;;
107589;137;confirmed;;
108800;3431;confirmed;;
108801;216;confirmed;;
108803;9956;confirmed;;
108804;1876;confirmed;;
108805;4391;confirmed;;
108806;2375;confirmed;;
108807;8472;confirmed;;
108808;2964;confirmed;;
108809;6478;confirmed;;
108810;2866;confirmed;;
108811;4759;confirmed;;
108813;127;confirmed;;
108814;4591;confirmed;;
108815;980;confirmed;;
108816;561;confirmed;;
108817;1330;confirmed;;
108818;4252;confirmed;;
108819;170;confirmed;;
108820;1288;confirmed;;
108821;2227;confirmed;;
108822;2323;confirmed;;
108823;873;confirmed;;
108824;1175;confirmed;;
108825;3983;confirmed;;
108826;4;exhausted;108826;4.0
108827;1417;confirmed;;
108828;5941;confirmed;;
108829;6775;confirmed;;
108830;8483;confirmed;;
108831;1434;confirmed;;
108832;682;confirmed;;
108833;3151;confirmed;;
108834;78;exhausted;108834;78.0
108835;5407;confirmed;;
108836;603;confirmed;;
108840;880;confirmed;;
108841;1353;confirmed;;
108850;672;confirmed;;
108851;601;confirmed;;
108852;122;confirmed;;
109004;435;confirmed;;
109012;246;confirmed;;
109028;400;confirmed;;
109029;372;confirmed;;
109044;275;confirmed;;
109052;767;confirmed;;
109097;1;confirmed;109097;1.0
109117;133;confirmed;;
109125;219;confirmed;;
109129;112;confirmed;;
109144;45;confirmed;;
109145;195;confirmed;;
109147;340;confirmed;;
109153;199;confirmed;;
109156;91;confirmed;;
109180;1;exhausted;109180;1.0
109202;452;confirmed;;
109235;519;confirmed;;
109240;287;confirmed;;
109263;165;confirmed;;
109289;1;exhausted;109289;1.0
109316;645;confirmed;;
109341;135;confirmed;;
109369;81;confirmed;;
109377;203;confirmed;;
109378;124;confirmed;;
109380;162;confirmed;;
109382;727;confirmed;;
109383;334;confirmed;;
109386;207;confirmed;;
109387;223;confirmed;;
109388;139;confirmed;;
109390;181;confirmed;;
109428;790;confirmed;;
109429;504;confirmed;;
109431;115;confirmed;;
109439;141;confirmed;;
109443;183;confirmed;;
109444;318;confirmed;;
109451;168;confirmed;;
109456;119;confirmed;;
109457;164;confirmed;;
109462;251;confirmed;;
109469;175;confirmed;;
109472;333;confirmed;;
109507;134;confirmed;;
109518;378;confirmed;;
109542;175;confirmed;;
109544;305;confirmed;;
109548;249;confirmed;;
109559;420;confirmed;;
109649;47;confirmed;;
109651;424;confirmed;;
109652;82;confirmed;;
111020;300;confirmed;;
111024;1111;confirmed;;
111033;447;confirmed;;
111116;127;confirmed;;
111123;490;confirmed;;
111141;553;confirmed;;
111250;338;confirmed;;
111394;287;confirmed;;
111395;233;confirmed;;
111396;209;confirmed;;
111397;127;confirmed;;
111398;222;confirmed;;
111399;215;confirmed;;
111401;172;confirmed;;
111402;247;confirmed;;
111524;426;confirmed;;
111531;114;confirmed;;
111538;238;confirmed;;
111539;111;confirmed;;
111555;201;confirmed;;
111558;300;confirmed;;
111622;608;confirmed;;
111625;614;confirmed;;
111672;197;confirmed;;
111673;265;confirmed;;
111674;679;confirmed;;
111675;588;confirmed;;
115035;528;confirmed;;
115054;577;confirmed;;
115068;1;confirmed;115068;1.0
115088;1232;confirmed;;
115093;404;confirmed;;
115095;1;exhausted;115095;1.0
115114;612;confirmed;;
115142;181;confirmed;;
115162;219;confirmed;;
115172;210;confirmed;;
115184;358;confirmed;;
115191;391;confirmed;;
115193;185;confirmed;;
115201;649;confirmed;;
115211;256;confirmed;;
115225;1;confirmed;115225;1.0
115230;518;confirmed;;
115280;766;confirmed;;
115304;253;confirmed;;
115372;106;confirmed;;
115404;541;confirmed;;
115406;1;exhausted;115406;1.0
115407;250;confirmed;;
115408;131;confirmed;;
115409;431;confirmed;;
115419;310;confirmed;;
115432;536;confirmed;;
115446;89;confirmed;;
115470;155;confirmed;;
115477;359;confirmed;;
115478;5;confirmed;;
115487;522;confirmed;;
115516;646;confirmed;;
115522;218;confirmed;;
115533;192;confirmed;;
115547;115;confirmed;;
115551;197;confirmed;;
115561;41;confirmed;;
115563;255;confirmed;;
115569;329;confirmed;;
115573;211;confirmed;;
115580;152;confirmed;;
115582;132;confirmed;;
115583;244;confirmed;;
115597;141;confirmed;;
115598;144;confirmed;;
115612;148;confirmed;;
115682;89;confirmed;;
117036;1;exhausted;117036;1.0
117041;774;confirmed;;
117042;621;confirmed;;
117105;541;confirmed;;
117133;148;confirmed;;
117148;347;confirmed;;
117149;97;confirmed;;
117152;231;confirmed;;
117186;319;confirmed;;
117198;118;confirmed;;
117208;177;confirmed;;
117209;201;confirmed;;
117216;248;confirmed;;
117218;349;confirmed;;
117246;191;confirmed;;
117279;150;confirmed;;
117292;314;confirmed;;
117303;235;confirmed;;
117312;250;confirmed;;
117321;154;confirmed;;
117335;207;confirmed;;
117342;350;confirmed;;
117393;204;confirmed;;
117403;444;confirmed;;
117405;505;confirmed;;
117418;265;confirmed;;
117420;147;confirmed;;
117437;201;confirmed;;
117447;198;confirmed;;
117449;191;confirmed;;
117452;300;confirmed;;
117461;229;confirmed;;
117463;167;confirmed;;
117465;157;confirmed;;
117485;206;confirmed;;
117513;121;confirmed;;
117519;172;confirmed;;
117525;180;confirmed;;
117534;240;confirmed;;
117535;208;confirmed;;
117545;495;confirmed;;
117546;367;confirmed;;
117556;335;confirmed;;
117570;168;confirmed;;
117574;308;confirmed;;
117587;210;confirmed;;
117588;100;confirmed;;
117593;166;confirmed;;
117607;1;exhausted;117607;1.0
117623;834;confirmed;;
117624;424;confirmed;;
117628;226;confirmed;;
117630;125;confirmed;;
117638;241;confirmed;;
117639;103;confirmed;;
117647;103;confirmed;;
117648;76;confirmed;;
117997;2;exhausted;117997;2.0
118730;1;exhausted;118730;1.0
118830;204;exhausted;118830;204.0
119002;397;confirmed;;
119017;404;confirmed;;
119019;436;confirmed;;
119021;386;confirmed;;
119027;1159;confirmed;;
119034;608;confirmed;;
119048;289;confirmed;;
119049;545;confirmed;;
119071;227;confirmed;;
119072;99;confirmed;;
119119;11;confirmed;;
119121;297;confirmed;;
119134;1;exhausted;119134;1.0
119136;73;confirmed;;
119146;127;confirmed;;
119160;32;confirmed;;
119180;248;confirmed;;
119192;306;confirmed;;
119200;6;exhausted;119200;6.0
119234;145;confirmed;;
119261;130;confirmed;;
119270;232;confirmed;;
119285;415;confirmed;;
119296;107;confirmed;;
119297;242;confirmed;;
119311;143;confirmed;;
119313;95;confirmed;;
119330;176;confirmed;;
119331;120;confirmed;;
119333;123;confirmed;;
119334;377;confirmed;;
119361;592;confirmed;;
119415;233;confirmed;;
119421;237;confirmed;;
119435;309;confirmed;;
119454;246;confirmed;;
119501;226;confirmed;;
119517;112;confirmed;;
119526;125;confirmed;;
119530;558;confirmed;;
119571;219;confirmed;;
119590;20;confirmed;;
119602;298;confirmed;;
119606;11;confirmed;;
119607;192;confirmed;;
119618;1732;confirmed;;
119619;1250;confirmed;;
119620;197;confirmed;;
119633;162;confirmed;;
119634;287;confirmed;;
121059;387;confirmed;;
121069;382;confirmed;;
121087;330;confirmed;;
121096;206;confirmed;;
121099;176;confirmed;;
121108;291;confirmed;;
121151;92;confirmed;;
121165;106;confirmed;;
121170;337;confirmed;;
121205;206;confirmed;;
121248;64;confirmed;;
121260;1;confirmed;121260;1.0
121309;375;confirmed;;
121351;622;confirmed;;
121352;173;confirmed;;
121353;219;confirmed;;
121354;229;confirmed;;
121357;582;confirmed;;
121359;241;confirmed;;
121374;117;confirmed;;
121433;271;confirmed;;
121467;163;confirmed;;
